accuracy,kld_transmat,kld_startprob,sample_size,seed,kld_state_distribution
0.5,3.7087046790865092,0.22314355131420976,10,11271,0.020135513550688863
0.5,3.7087046790865092,0.22314355131420976,10,22351,0.020135513550688863
0.5,3.7087046790865092,0.22314355131420976,10,40126,0.020135513550688863
0.5,3.7087046790865092,0.22314355131420976,10,69601,0.020135513550688863
0.5,3.7087046790865092,0.22314355131420976,10,51344,0.020135513550688863
0.5,3.7087046790865092,0.22314355131420976,10,76491,0.020135513550688863
0.5,3.7087046790865092,0.22314355131420976,10,49982,0.020135513550688863
0.5,3.7087046790865092,0.22314355131420976,10,49835,0.020135513550688863
0.5,3.7087046790865092,0.22314355131420976,10,51315,0.020135513550688863
0.5,3.7087046790865092,0.22314355131420976,10,65521,0.020135513550688863
0.5,3.7087046790865092,0.22314355131420976,10,5241,0.020135513550688863
0.5,3.7087046790865092,0.22314355131420976,10,55196,0.020135513550688863
0.74,0.3904017547311862,0.22314355131420976,50,11271,0.007507219830857545
0.74,0.3904017547311862,0.22314355131420976,50,22351,0.007507219830857545
0.74,0.3904017547311862,0.22314355131420976,50,40126,0.007507219830857545
0.74,0.3904017547311862,0.22314355131420976,50,69601,0.007507219830857545
0.74,0.3904017547311862,0.22314355131420976,50,51344,0.007507219830857545
0.74,0.3904017547311862,0.22314355131420976,50,76491,0.007507219830857545
0.74,0.3904017547311862,0.22314355131420976,50,49982,0.007507219830857545
0.74,0.3904017547311862,0.22314355131420976,50,49835,0.007507219830857545
0.74,0.3904017547311862,0.22314355131420976,50,51315,0.007507219830857545
0.74,0.3904017547311862,0.22314355131420976,50,65521,0.007507219830857545
0.74,0.3904017547311862,0.22314355131420976,50,5241,0.007507219830857545
0.74,0.3904017547311862,0.22314355131420976,50,55196,0.007507219830857545
0.7,0.72404741058014,0.22314355131420976,100,11271,0.013654862132964352
0.7,0.72404741058014,0.22314355131420976,100,22351,0.013654862132964352
0.7,0.72404741058014,0.22314355131420976,100,40126,0.013654862132964352
0.7,0.72404741058014,0.22314355131420976,100,69601,0.013654862132964352
0.7,0.72404741058014,0.22314355131420976,100,51344,0.013654862132964352
0.7,0.72404741058014,0.22314355131420976,100,76491,0.013654862132964352
0.7,0.72404741058014,0.22314355131420976,100,49982,0.013654862132964352
0.7,0.72404741058014,0.22314355131420976,100,49835,0.013654862132964352
0.7,0.72404741058014,0.22314355131420976,100,51315,0.013654862132964352
0.7,0.72404741058014,0.22314355131420976,100,65521,0.013654862132964352
0.7,0.72404741058014,0.22314355131420976,100,5241,0.013654862132964352
0.7,0.72404741058014,0.22314355131420976,100,55196,0.013654862132964352
0.6866666666666666,0.5090931966608496,0.22314355131420976,150,11271,0.13744196772796208
0.6866666666666666,0.5090931966608496,0.22314355131420976,150,22351,0.13744196772796208
0.6866666666666666,0.5090931966608496,0.22314355131420976,150,40126,0.13744196772796208
0.6866666666666666,0.5090931966608496,0.22314355131420976,150,69601,0.13744196772796208
0.6866666666666666,0.5090931966608496,0.22314355131420976,150,51344,0.13744196772796208
0.6866666666666666,0.5090931966608496,0.22314355131420976,150,76491,0.13744196772796208
0.6866666666666666,0.5090931966608496,0.22314355131420976,150,49982,0.13744196772796208
0.6866666666666666,0.5090931966608496,0.22314355131420976,150,49835,0.13744196772796208
0.6866666666666666,0.5090931966608496,0.22314355131420976,150,51315,0.13744196772796208
0.6866666666666666,0.5090931966608496,0.22314355131420976,150,65521,0.13744196772796208
0.6866666666666666,0.5090931966608496,0.22314355131420976,150,5241,0.13744196772796208
0.6866666666666666,0.5090931966608496,0.22314355131420976,150,55196,0.13744196772796208
0.575,0.13874057886018776,0.22314355131420976,200,11271,0.2298065774789653
0.575,0.13874057886018776,0.22314355131420976,200,22351,0.2298065774789653
0.575,0.13874057886018776,0.22314355131420976,200,40126,0.2298065774789653
0.575,0.13874057886018776,0.22314355131420976,200,69601,0.2298065774789653
0.575,0.13874057886018776,0.22314355131420976,200,51344,0.2298065774789653
0.575,0.13874057886018776,0.22314355131420976,200,76491,0.2298065774789653
0.575,0.13874057886018776,0.22314355131420976,200,49982,0.2298065774789653
0.575,0.13874057886018776,0.22314355131420976,200,49835,0.2298065774789653
0.575,0.13874057886018776,0.22314355131420976,200,51315,0.2298065774789653
0.575,0.13874057886018776,0.22314355131420976,200,65521,0.2298065774789653
0.575,0.13874057886018776,0.22314355131420976,200,5241,0.2298065774789653
0.575,0.13874057886018776,0.22314355131420976,200,55196,0.2298065774789653
0.532,0.1914773027175225,0.22314355131420976,250,11271,0.3636107240132961
0.532,0.1914773027175225,0.22314355131420976,250,22351,0.3636107240132961
0.532,0.1914773027175225,0.22314355131420976,250,40126,0.3636107240132961
0.532,0.1914773027175225,0.22314355131420976,250,69601,0.3636107240132961
0.532,0.1914773027175225,0.22314355131420976,250,51344,0.3636107240132961
0.532,0.1914773027175225,0.22314355131420976,250,76491,0.3636107240132961
0.532,0.1914773027175225,0.22314355131420976,250,49982,0.3636107240132961
0.532,0.1914773027175225,0.22314355131420976,250,49835,0.3636107240132961
0.532,0.1914773027175225,0.22314355131420976,250,51315,0.3636107240132961
0.532,0.1914773027175225,0.22314355131420976,250,65521,0.3636107240132961
0.532,0.1914773027175225,0.22314355131420976,250,5241,0.3636107240132961
0.532,0.1914773027175225,0.22314355131420976,250,55196,0.3636107240132961
0.5333333333333333,0.23462314318106087,0.22314355131420976,300,11271,0.42106250969435083
0.5333333333333333,0.23462314318106087,0.22314355131420976,300,22351,0.42106250969435083
0.5333333333333333,0.23462314318106087,0.22314355131420976,300,40126,0.42106250969435083
0.5333333333333333,0.23462314318106087,0.22314355131420976,300,69601,0.42106250969435083
0.5333333333333333,0.23462314318106087,0.22314355131420976,300,51344,0.42106250969435083
0.5333333333333333,0.23462314318106087,0.22314355131420976,300,76491,0.42106250969435083
0.5333333333333333,0.23462314318106087,0.22314355131420976,300,49982,0.42106250969435083
0.5333333333333333,0.23462314318106087,0.22314355131420976,300,49835,0.42106250969435083
0.5333333333333333,0.23462314318106087,0.22314355131420976,300,51315,0.42106250969435083
0.5333333333333333,0.23462314318106087,0.22314355131420976,300,65521,0.42106250969435083
