timestamp,mouse_click_x,mouse_click_y,mouse_hover,is_idle,key_press,backspace
1748955272,,,,,,
1748955273,,,,,,
1748955274,,,,,,
1748955275,,,"(967.3046875,763.55859375)",,,
1748955276,,,,,,
1748955277,,,,,,
1748955278,,,,,,
1748955279,,,"(879.01171875,455.87890625)",,,
1748955280,,,"(747.73046875,333.4765625)",,,
1748955281,877.28515625,234.33203125,,,,
1748955282,,,,,,
1748955283,,,,,,
1748955284,,,,,i,
1748955285,,,,,,
1748955286,,,,,d,
1748955287,,,,,g,
1748955288,,,,,c,
1748955289,,,,,,
1748955290,,,,,t,
1748955291,,,,,l,
1748955292,,,,,,
1748955293,,,"(861.05859375,165.8828125)",,,
1748955294,,,,,.,
1748955295,,,,,,
1748955296,,,,,,
1748955297,,,,,t,
1748955298,,,,,t,
1748955299,,,,,,Backspace
1748955300,,,,,,Backspace
1748955301,,,,,,Backspace
1748955302,,,,,,Backspace
1748955303,,,,,,Backspace
1748955304,,,,,,Backspace
1748955305,,,,,,Backspace
1748955306,,,"(1180.125,245.75)",,,
1748955307,,,,,,
1748955308,1123.078125,432.359375,,,,
1748955309,,,,,,
1748955310,203.7578125,571.77734375,"(569.703125,73.7265625)",,,
1748955311,,,"(1268.80078125,47.43359375)",,,
1748955312,,,,,,
1748955313,,,"(965.66796875,64.4765625)",,,
1748955314,954.7890625,83.140625,,,,
1748955315,,,,,n,
1748955316,,,,,n,
1748955317,,,,,,
1748955318,,,"(832.82421875,192.94921875)",,,
1748955319,,,,,,
1748955320,,,"(1439.98046875,152.89453125)",,,
1748955321,,,,,,
1748955322,,,"(313.98046875,222.07421875)",,,
1748955323,,,"(835.734375,195.58203125)",,,
1748955324,,,"(859.68359375,202.859375)",,,
1748955325,857.18359375,203.2265625,,,,
1748955326,,,"(878.44921875,299.359375)",,,
1748955327,,,,,,
1748955328,867.96875,190.8203125,,,,
1748955329,,,"(878.953125,186.76171875)",,,
1748955330,1439.98046875,239.9296875,"(1439.98046875,240.22265625)",,,
1748955331,,,"(723.88671875,332.15625)",,,
1748955332,,,"(951.48828125,488.15625)",,,
1748955333,,,"(1048.93359375,436.71875)",,,
1748955334,,,"(468.76953125,182.3046875)",,,
1748955335,,,"(403.640625,82.64453125)",,,
1748955336,,,"(472.99609375,419.80859375)",,,
1748955337,,,"(503.328125,322.3984375)",,,
1748955338,,,,,,
1748955339,,,,,,
1748955340,,,,,,
1748955341,871.26171875,543.7265625,,,,
1748955342,,,"(1120.828125,804.98828125)",,,
1748955343,,,"(962.5078125,517.37109375)",,,
1748955344,,,,,,
1748955345,870.07421875,470.94140625,"(870.07421875,470.94140625)",,,
1748955346,,,,,x,
1748955347,,,,,,
