timestamp,mouse_click_x,mouse_click_y,mouse_hover,is_idle,key_press,backspace
1748243418,,,,,,
1748243419,,,,,,
1748243420,,,,,,
1748243421,,,,,,
1748243422,,,"(369.625,235.9609375)",,,
1748243423,276.6875,299.83203125,"(702.34765625,57.83203125)",,,
1748243424,,,,,,
1748243425,,,,,,
1748243426,,,,,,
1748243427,,,,,,
1748243428,,,,,,
1748243429,,,,,,
1748243430,,,,,,
1748243431,,,,,,
1748243432,,,,,,
1748243433,,,,,,
1748243434,,,,,,
1748243435,,,,,,
1748243436,,,,,,
1748243437,,,,,,
1748243438,,,,,,
1748243439,,,,,,
1748243440,,,,,,
1748243441,,,,,,
1748243442,,,,,,
1748243443,,,,,,
1748243444,,,,,,
1748243445,,,,,,
1748243446,,,,,,
1748243447,,,,,,
1748243448,,,,,,
1748243449,,,,,,
1748243450,,,,,,
1748243451,,,,,,
1748243452,,,,,,
1748243453,,,,,,
1748243454,,,,,,
1748243455,,,,,,
1748243456,,,,,,
1748243457,,,,,,
1748243458,,,,,,
1748243459,,,,,,
1748243460,,,,,,
1748243461,,,,,,
1748243462,,,,,,
1748243463,,,,,,
1748243464,,,,,,
1748243465,,,,,,
1748243466,,,,,,
1748243467,,,,,,
1748243468,,,,,,
1748243469,,,,,,
1748243470,,,,,,
1748243471,,,,,,
1748243472,,,,,,
1748243473,,,,,,
1748243474,,,,,,
1748243475,,,,,,
1748243476,,,,,,
1748243477,,,,,,
1748243478,,,,,,
1748243479,,,,,,
1748243480,,,,,,
1748243481,,,,,,
1748243482,,,,,,
1748243483,,,,,,
1748243484,,,,,,
1748243485,,,,,,
1748243486,,,,,,
1748243487,,,,,,
1748243488,,,,,,
1748243489,,,,,,
1748243490,,,,,,
1748243491,,,,,,
1748243492,,,,,,
1748243493,,,,,,
1748243494,,,,,,
1748243495,,,,,,
1748243496,,,,,,
1748243497,,,,,,
1748243498,,,,,,
1748243499,,,,,,
1748243500,,,,,,
1748243501,,,,,,
1748243502,,,,,,
1748243503,,,,,,
1748243504,,,,,,
1748243505,,,,,,
1748243506,,,,,,
1748243507,,,,,,
1748243508,,,,,,
1748243509,,,,,,
1748243510,,,,,,
1748243511,,,,,,
1748243512,,,,,,
1748243513,,,,,,
1748243514,,,,,,
1748243515,,,"(1051.5703125,326.13671875)",,,
1748243516,,,"(1079.45703125,432.95703125)",,,
1748243517,1181.77734375,437.46875,,,,
1748243518,1073.65234375,276.8984375,,,,
1748243519,,,,,,
1748243520,,,"(1024.94140625,280.7421875)",,,
1748243521,,,,,,
1748243522,,,,,,
1748243523,,,,,t,
